dataset,degree,node_count,node_ratio
处理前,1,887,0.18614900314795382
处理前,3,3001,0.629800629590766
处理前,4,832,0.1746065057712487
处理前,5,44,0.009233997901364113
处理前,6,1,0.0002098635886673662
处理后,1,875,0.2733520774757888
处理后,2,1,0.00031240237425804435
处理后,3,2018,0.6304279912527335
处理后,4,289,0.09028428616057482
处理后,5,15,0.004686035613870665
处理后,6,3,0.0009372071227741331
